grant_application_name,name,short_name,keywords
Vanadium Chloroperoxidases (VCPO),Vanadium Chloroperoxidases (VCPO),vcpo,"vanadium, chloroperoxidase, vcpo"
Vanadium Bromoperoxidases (VBPO) (1),Vanadium Bromoperoxidases (VBPO),vbpo,"vanadium, bromoperoxidase, vbpo"
Heme and non-heme haloperoxidases/ perhydrolases (1),Heme and non-heme haloperoxidases/ perhydrolases,,"haloperoxidase, heme,  perhydrolase"
Methyl halide transferase (MHT) (2),Methyl halide transferase (MHT),mht,"methyl, halide, transferase, mht"
"Monooxygenases (ethane monooxygenase,ammonium monooxygenase) (6)",ethane monooxygenase,,"ethane, monooxygenase"
Ammonium monooxygenase (AMO) (6),Ammonium monooxygenase (AMO),amo,"ammonia, ammonium, monooxygenase, amo"
ThmA reductive dehalogenase (thmA) (7),ThmA reductive dehalogenase (thmA),thma,"Thma, dehalogenase, reductive,"
DCM dehalogenase (dcmA),DCM dehalogenase (dcmA),dcma,"dehalogenase, dcma"
Halohalkane dehalogenase (dhaA),Halohalkane dehalogenase (dhaA),dhaa,"halohalkane, dehalogenase, dhaa"
Haloalcohol dehalogenase (hheB),Haloalcohol dehalogenase (hheB),hheb,"haloalcohol, dehalogenase, hheb"
Methyltransferase / corrinoid (cmuA) (3),Methyltransferase / corrinoid (cmuA),cmua,"methyltransferase, corrinoid, cmua"
Methyltransferase (cmuB) (3),Methyltransferase (cmuB),cmub,"methyltransferase, cmub"
Methyltransferase (putative) (cmuc) (3),Methyltransferase (putative) (cmuc),cmuc,"methyltransferase, cmuc"
Methylene-H4 folate reductase (MetF) (4),Methylene-H4 folate reductase (MetF),metf,"methylene, h4, folate, reductase, metf"
Methylene-H4 folate dehydrogenase/ cyclohydrolase (folD) (4),Methylene-H4 folate dehydrogenase/ cyclohydrolase (folD),fold,"methylene, h4, folate, dehydrogenase, cyclohydrolase, fold"
Methane monooxygenase (MMO) (5),Methane monooxygenase (MMO),mmo,"methane, monooxygenase, mmo"